Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
85,Treecko,,252,♂,494,73,12,14,13,86.7,17.0,17.0,,,,"2023-03-09 20:11","2023-03-09 13:03",2/24/2023,,,0,0,1,2200,60.12%,1634,95.01%,136800,151,Grovyle,,0,65.32%,1421,96.65%,143800,259,Sceptile,Normal,0,68.64%,1285,93.92%,0,0,Treecko,,0,
86,Scatterbug,,664,♀,191,65,10,13,10,73.3,15.0,15.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/25/2023,,,0,0,0,1900,67.59%,1328,95.71%,91400,207,Vivillon,,0,92.41%,312,93.51%,496400,393,Vivillon,,0,97.17%,117,95.84%,466400,268,Scatterbug,,0,
87,Chimecho,,358,♂,29,17,5,15,5,55.6,1.0,1.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/25/2023,,,0,0,0,200,85.57%,592,96.71%,76000,84,Chimecho,,0,63.93%,1478,92.05%,520000,304,Chimecho,,0,13.94%,3525,88.19%,6400,14,Chimecho,,0,
88,Deoxys,Normal,386,,1763,89,10,15,12,82.2,20.0,20.0,,,,"2023-03-09 20:11","2023-02-27 18:05",2/25/2023,,,0,0,0,2500,,,,,,,,,78.02%,901,96.45%,56000,50,Deoxys,Normal,0,,,,,,,,,
89,Chimecho,,358,♂,270,54,4,2,6,26.7,5.0,5.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/25/2023,,,0,0,0,600,59.49%,1660,95.24%,81600,82,Chimecho,,0,10.79%,3654,85.65%,517600,296,Chimecho,,0,40.88%,2422,90.78%,4800,7,Chimecho,,0,
90,Ralts,,280,♂,206,53,14,15,8,82.2,14.0,14.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/25/2023,,,0,0,0,1600,19.46%,3299,93.29%,10800,137,Gardevoir,Normal,0,14.87%,3487,94.48%,85100,203,Gardevoir,Normal,0,62.66%,1530,90.76%,202600,206,Ralts,,0,
91,Anorith,,347,♂,398,55,7,13,4,53.3,10.0,10.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/25/2023,,,0,0,0,1000,65.23%,1425,95.75%,32500,86,Armaldo,,0,58.12%,1716,96.46%,180000,228,Armaldo,,0,88.91%,455,95.37%,5900,8,Anorith,,0,
92,Scatterbug,,664,♀,195,67,11,12,14,82.2,15.0,15.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/26/2023,,,0,0,0,1900,41.66%,2390,94.42%,86400,203,Vivillon,,0,95.97%,166,94.86%,496400,393,Vivillon,,0,99.46%,23,97.97%,496400,293,Spewpa,,0,
93,Ralts,,280,♂,162,51,13,2,13,62.2,12.0,12.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/26/2023,,,0,0,0,1300,22.10%,3191,93.43%,18800,147,Gardevoir,Normal,0,41.68%,2389,95.72%,100400,219,Gardevoir,Normal,0,30.28%,2856,87.49%,343400,280,Ralts,,0,
94,Tauros,,128,♂,835,90,0,15,15,66.7,12.0,12.0,,,,"2023-03-09 20:11","2023-03-07 12:45",2/26/2023,,,0,0,0,1300,100.00%,1,100%,38400,39,Tauros,,0,100.00%,1,100%,297400,280,Tauros,,0,,,,,,,,,
95,Delibird,,225,♀,440,71,11,11,11,73.3,15.0,15.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/26/2023,,,0,0,0,1900,89.21%,443,90.38%,496400,268,Delibird,,0,89.21%,443,90.38%,496400,268,Delibird,,0,74.92%,1028,94.36%,7600,8,Delibird,,0,
96,Tympole,,535,♂,277,72,4,13,14,68.9,13.0,13.0,,,,"2023-03-09 20:11","2023-03-09 20:11",2/27/2023,,,0,0,0,1600,79.07%,858,96.18%,35800,160,Seismitoad,,0,95.53%,184,98.54%,316800,401,Seismitoad,,0,83.49%,677,95.80%,1600,27,Palpitoad,,0,
97,Umbreon,,197,♂,1174,139,0,14,6,44.4,22.0,22.0,,,,"2023-03-09 20:11","2023-03-05 13:14",3/1/2023,,,0,0,2,3000,97.61%,99,98.27%,45000,40,Umbreon,,0,21.07%,3233,85.34%,464000,238,Umbreon,,0,,,,,,,,,
98,Vulpix,Normal,37,♀,442,75,5,2,7,31.1,21.0,21.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/1/2023,,,0,0,0,3000,59.58%,1656,95.28%,30000,77,Ninetales,Normal,0,15.63%,3456,87.57%,470000,294,Ninetales,Normal,0,44.13%,2289,91.59%,15500,15,Vulpix,Normal,0,
99,Tornadus,Normal,641,♂,2343,134,11,14,14,86.7,25.0,25.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/1/2023,,,0,0,0,4000,,,,,,,,,77.26%,932,96.61%,12000,10,Tornadus,Normal,0,,,,,,,,,
100,Alakazam,Normal,65,♂,2017,101,15,8,9,71.1,24.0,24.0,,,,"2023-03-09 20:10","2023-03-07 12:45",12/12/2022,,,0,0,0,3500,,,,,,,,,15.09%,3478,94.45%,46000,40,Alakazam,Normal,0,,,,,,,,,
101,Staryu,,120,,482,58,14,14,11,86.7,15.0,15.0,,,,"2023-03-09 20:10","2023-03-09 12:57",3/1/2023,,,0,0,0,1900,53.04%,1924,95.09%,23900,72,Starmie,,0,62.34%,1543,96.31%,226400,288,Starmie,,0,71.01%,1188,94.12%,1900,2,Staryu,,0,
102,Starmie,,121,,1070,86,10,14,12,80.0,15.0,15.0,,,,"2023-03-09 20:10","2023-03-09 12:57",3/1/2023,,,0,0,0,1900,93.65%,261,97.58%,26400,24,Starmie,,0,71.92%,1151,96.70%,246400,268,Starmie,,0,,,,,,,,,
103,Pancham,,674,♂,829,108,14,11,14,86.7,20.0,20.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/2/2023,,,0,0,0,2500,64.13%,1470,94.56%,278000,248,Pancham,,0,30.82%,2834,95.17%,85000,124,Pangoro,,0,,,,,,,,,
104,Dragonair,,148,♂,993,99,14,13,11,84.4,20.0,20.0,,,,"2023-03-09 20:10","2023-03-05 16:45",3/2/2023,,,0,0,0,2500,37.22%,2572,94.42%,75000,66,Dragonair,,0,8.84%,3734,93.53%,17000,116,Dragonite,,0,,,,,,,,,
105,Eevee,,133,♂,500,88,14,8,14,80.0,17.0,17.0,,,,"2023-03-09 20:10","2023-03-05 13:14",3/3/2023,,,0,0,1,2200,73.14%,1101,95.66%,2200,27,Sylveon,,0,53.26%,1915,95.86%,74300,91,Glaceon,,0,56.39%,1787,93.01%,0,0,Eevee,,0,
106,Skarmory,,227,♂,1588,125,6,1,12,42.2,29.0,29.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/3/2023,,,0,0,0,5000,,,,,,,,,43.42%,2318,87.80%,410000,190,Skarmory,,0,,,,,,,,,
107,Servine,,496,♂,56,26,5,14,3,48.9,2.0,2.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/3/2023,,,0,0,0,200,56.29%,1791,95.17%,75600,182,Serperior,,0,42.47%,2357,91.16%,519600,402,Serperior,,0,95.46%,187,97.00%,6800,113,Serperior,,0,
108,Ledyba,,165,♀,466,87,5,14,9,62.2,26.0,26.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/4/2023,,,0,0,0,4000,66.20%,1385,89.41%,436000,239,Ledian,,0,66.20%,1385,87.95%,436000,239,Ledian,,0,70.13%,1224,93.39%,12500,12,Ledyba,,0,
109,Scatterbug,,664,♂,206,66,15,13,13,91.1,15.0,15.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/4/2023,,,0,0,0,1900,39.17%,2492,94.29%,81900,199,Vivillon,,0,99.07%,39,97.16%,496400,393,Vivillon,,0,92.72%,299,94.69%,346400,293,Spewpa,,0,
110,Eevee,,133,♂,133,45,9,12,10,68.9,5.0,5.0,,,,"2023-03-09 20:10","2023-03-05 13:14",3/4/2023,,,0,0,4,600,85.84%,581,96.35%,33200,65,Flareon,,0,56.80%,1770,96.29%,139600,159,Leafeon,,0,97.26%,113,97.13%,1200,27,Espeon,,0,
111,Aggron,Normal,306,♀,1500,107,5,11,15,68.9,18.5,18.5,,,,"2023-03-09 20:10","2023-03-09 20:10",3/4/2023,,,0,0,0,2200,99.12%,37,98.72%,0,0,Aggron,Normal,0,92.45%,310,97.92%,98200,86,Aggron,Normal,0,,,,,,,,,
112,Mareanie,,747,♀,517,89,10,11,12,73.3,20.0,20.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/5/2023,,,0,0,0,2500,38.36%,2525,93.92%,145000,190,Toxapex,,0,89.13%,446,93.30%,475000,298,Toxapex,,0,,,,,,,,,
113,Hitmonlee,,106,♂,1493,91,14,6,13,73.3,21.0,21.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/5/2023,,,0,0,0,3000,50.28%,2037,95.00%,0,0,Hitmonlee,,0,28.03%,2948,94.91%,220000,244,Hitmonlee,,0,,,,,,,,,
114,Frillish,,592,♂,679,95,10,11,14,77.8,20.0,20.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/5/2023,,,0,0,0,2500,40.49%,2438,94.52%,17000,66,Jellicent,,0,95.36%,191,98.05%,431000,298,Jellicent,,0,,,,,,,,,
115,Hitmonchan,,107,♂,1652,104,0,12,14,57.8,27.0,27.0,,,,"2023-03-09 20:10","2023-03-07 11:56",3/5/2023,,,0,0,0,4500,,,,,,,,,74.29%,1054,95.82%,428000,206,Hitmonchan,,0,,,,,,,,,
116,Hitmonlee,,106,,1309,86,11,9,13,73.3,18.5,18.5,,,,"2023-03-09 20:10","2023-03-09 20:10",3/5/2023,,,0,0,0,1900,57.41%,1745,95.31%,12200,10,Hitmonlee,,0,51.92%,1970,95.82%,242200,254,Hitmonlee,,0,,,,,,,,,
117,Hitmontop,,237,♂,910,78,14,12,14,88.9,15.0,15.0,,,,"2023-03-09 20:10","2023-03-07 11:57",3/5/2023,,,0,0,0,1900,40.37%,2443,94.27%,48900,45,Hitmontop,,0,98.80%,50,97.35%,496400,268,Hitmontop,,0,,,,,,,,,
118,Jynx,,124,♀,1049,89,12,10,10,71.1,15.0,15.0,Frost Breath,Draining Kiss,,"2023-03-09 20:10","2023-03-05 19:19",3/5/2023,26.2kg,1.2m,0,0,0,1900,12.28%,3593,92.85%,26400,24,Jynx,,0,58.66%,1694,96.37%,277400,268,Jynx,,0,,,,,,,,,
119,Fomantis,,753,♀,389,79,10,10,13,73.3,20.0,20.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/5/2023,,,0,0,0,2500,45.64%,2227,94.75%,14000,63,Lurantis,,0,77.97%,903,96.19%,376000,298,Lurantis,,0,56.80%,1770,92.20%,35000,31,Fomantis,,0,
120,Fennekin,,653,♂,516,78,7,3,12,48.9,20.0,20.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/5/2023,,,0,0,0,2500,54.58%,1861,95.47%,116000,131,Braixen,,0,46.91%,2175,96.01%,85000,199,Delphox,,0,,,,,,,,,
121,Ledian,,166,♀,894,97,14,9,0,51.1,25.0,25.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/6/2023,,,0,0,0,4000,58.44%,1703,88.31%,444000,220,Ledian,,0,58.44%,1703,86.86%,444000,220,Ledian,,0,,,,,,,,,
122,Mareanie,,747,♂,524,90,10,12,15,82.2,20.0,20.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/6/2023,,,0,0,0,2500,58.24%,1711,95.18%,137000,180,Toxapex,,0,95.12%,201,95.12%,475000,298,Toxapex,,0,,,,,,,,,
123,Aron,,304,♀,1055,109,7,10,10,60.0,32.0,32.0,,,,"2023-03-09 20:10","2023-03-06 14:00",3/6/2023,,,0,0,0,6000,69.52%,1249,88.23%,378000,162,Aron,,0,80.73%,790,97.16%,0,125,Aggron,Normal,0,,,,,,,,,
124,Mareanie,,747,♀,534,90,12,12,15,86.7,20.0,20.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/6/2023,,,0,0,0,2500,46.06%,2210,94.40%,123000,164,Toxapex,,0,98.07%,80,96.66%,475000,298,Toxapex,,0,,,,,,,,,
125,Scatterbug,,664,♂,201,65,15,11,10,80.0,15.0,15.0,,,,"2023-03-09 20:10","2023-02-19 16:10",2/18/2023,2.29kg,,0,0,0,1900,26.50%,3011,93.64%,86400,203,Vivillon,,0,94.90%,210,94.36%,496400,393,Vivillon,,0,88.74%,462,93.72%,384400,293,Spewpa,,0,
126,Haunter,,93,♂,1673,106,15,6,15,80.0,32.0,32.0,,,,"2023-03-09 20:10","2023-03-09 20:10",3/6/2023,,,0,0,0,6000,,,,,,,,,39.85%,2464,95.33%,6000,106,Gengar,Normal,0,,,,,,,,,
127,Qwilfish,Hisuian,211,♂,874,91,10,10,13,73.3,15.0,15.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/7/2023,,,0,0,0,1900,88.94%,454,96.62%,14200,64,Overqwil,,0,61.00%,1598,96.55%,112400,150,Overqwil,,0,,,,,,,,,
128,Onix,,95,♀,605,74,12,13,14,86.7,20.0,20.0,,,,"2023-03-09 20:09","2023-03-09 12:53",3/7/2023,,,0,0,0,2500,,,,,,,,,72.09%,1144,96.05%,325000,298,Steelix,Normal,0,,,,,,,,,U
129,Ponyta,Normal,77,♀,953,87,15,15,10,88.9,20.0,20.0,,,,"2023-03-09 20:09","2023-03-08 13:51",3/7/2023,,,0,0,0,2500,63.25%,1506,95.17%,8000,57,Rapidash,Normal,0,43.03%,2334,95.32%,267000,298,Rapidash,Normal,0,,,,,,,,,
130,Hitmontop,,237,♂,1240,90,10,14,11,77.8,21.0,21.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/7/2023,,,0,0,0,3000,35.46%,2644,94.03%,26000,24,Hitmontop,,0,93.14%,282,94.61%,470000,244,Hitmontop,,0,,,,,,,,,
131,Lunatone,,337,,827,102,15,8,5,62.2,13.0,13.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/7/2023,,,0,0,0,1600,28.57%,2926,93.52%,48300,47,Lunatone,,0,64.57%,1452,95.04%,472800,276,Lunatone,,0,,,,,,,,,
132,Eevee,,133,♂,324,67,15,13,6,75.6,11.0,11.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/7/2023,,,0,0,0,1300,67.59%,1328,95.49%,19200,49,Espeon,,0,43.79%,2303,95.31%,136000,153,Jolteon,,0,4.18%,3925,88.31%,17300,22,Eevee,,0,
133,Solrock,,338,,977,112,15,12,10,82.2,15.0,15.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/8/2023,,,0,0,0,1900,63.71%,1487,95.18%,38400,36,Solrock,,0,78.58%,878,96.16%,410400,268,Solrock,,0,,,,,,,,,
134,Mareanie,,747,♂,524,90,10,12,15,82.2,20.0,20.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/8/2023,,,0,0,0,2500,58.24%,1711,95.18%,137000,180,Toxapex,,0,95.12%,201,95.12%,475000,298,Toxapex,,0,,,,,,,,,
135,Popplio,,728,♀,628,90,12,15,14,91.1,20.0,20.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/8/2023,,,0,0,0,2500,42.03%,2375,94.61%,56000,75,Brionne,,0,57.61%,1737,96.17%,51500,171,Primarina,,0,,,,,,,,,
136,Ho-Oh,,250,,2170,133,14,14,10,84.4,20.0,20.0,,,,"2023-03-09 20:09","2023-03-08 23:43",3/8/2023,,,0,0,0,2500,,,,,,,,,71.58%,1165,96.58%,17000,16,Ho-Oh,,0,,,,,,,,,
137,Clauncher,,692,♀,685,96,11,6,10,60.0,24.0,24.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/8/2023,,,0,0,0,3500,71.26%,1178,87.31%,451000,226,Clauncher,,0,20.07%,3274,94.73%,137000,188,Clawitzer,,0,,,,,,,,,
138,Shuckle,,213,♀,217,53,15,7,5,60.0,20.0,20.0,,,,"2023-03-09 20:09","2023-03-09 02:47",3/8/2023,,,0,0,0,2500,90.35%,396,87.55%,475000,248,Shuckle,,0,90.35%,396,87.55%,475000,248,Shuckle,,0,90.35%,396,87.55%,475000,248,Shuckle,,0,
139,Ditto,,132,,389,83,2,1,2,11.1,21.0,21.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/8/2023,,,0,0,0,3000,1.22%,4046,69.45%,470000,244,Ditto,,0,1.22%,4046,69.45%,470000,244,Ditto,,0,37.22%,2572,91.05%,38000,34,Ditto,,0,
140,Roggenrola,,524,♀,419,74,15,4,9,62.2,13.0,13.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/8/2023,,,0,0,0,1600,7.06%,3807,92.28%,74800,120,Boldore,,0,14.38%,3507,94.12%,83800,328,Gigalith,,0,31.45%,2808,91.43%,8300,10,Roggenrola,,0,
141,Tangela,,114,♀,1225,99,14,13,4,68.9,20.0,20.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/8/2023,,,0,0,0,2500,6.40%,3834,92.03%,24000,22,Tangela,,0,8.96%,3729,94.27%,70000,162,Tangrowth,,0,,,,,,,,,
142,Tangela,,114,♀,1529,115,12,0,6,40.0,26.0,26.0,,,,"2023-03-09 20:09","2023-03-09 20:09",3/8/2023,,,0,0,0,4000,,,,,,,,,11.72%,3616,94.45%,58000,152,Tangrowth,,0,,,,,,,,,
143,Dunsparce,,206,♂,1330,171,9,6,10,55.6,30.0,30.0,,,,"2023-03-09 20:08","2023-03-09 20:08",3/8/2023,,,0,0,0,0,42.83%,2342,94.65%,103000,116,Dunsparce,,0,58.61%,1696,88.07%,400000,182,Dunsparce,,0,,,,,,,,,
144,Xatu,,178,♀,1760,123,15,11,9,77.8,29.0,29.0,,,,"2023-03-09 20:08","2023-03-09 12:15",3/9/2023,,,0,0,1,5000,,,,,,,,,92.72%,299,94.24%,410000,190,Xatu,,0,,,,,,,,,
145,Stunky,,434,♀,15,15,14,11,1,57.8,1.0,1.0,,,,"2023-03-09 20:08","2023-03-09 20:08",3/9/2023,,,0,0,0,200,5.25%,3881,92.17%,62000,122,Skuntank,,0,60.00%,1639,94.76%,476000,354,Skuntank,,0,16.68%,3413,90.44%,27400,40,Stunky,,0,
146,Scatterbug,,664,♀,202,65,14,13,11,84.4,15.0,15.0,,,,"2023-03-09 20:08","2023-03-09 20:08",3/9/2023,,,0,0,0,1900,18.07%,3356,93.15%,81900,199,Vivillon,,0,97.19%,116,95.52%,496400,393,Vivillon,,0,95.38%,190,95.49%,397400,293,Spewpa,,0,
147,Shuckle,,213,♂,118,41,14,10,9,73.3,11.0,11.0,,,,"2023-03-09 20:08","2023-03-09 02:47",3/9/2023,,,0,0,0,1300,92.23%,319,88.86%,508000,284,Shuckle,,0,92.23%,319,88.86%,508000,284,Shuckle,,0,92.23%,319,88.86%,508000,284,Shuckle,,0,
148,Koffing,,109,♂,156,38,10,15,13,84.4,5.0,5.0,,,,"2023-03-09 20:08","2023-03-09 12:50",3/9/2023,,,0,0,0,600,70.79%,1197,95.64%,63100,117,Weezing,Normal,0,99.54%,20,99.15%,502600,346,Weezing,Normal,0,98.02%,82,97.63%,4000,56,Weezing,Normal,0,
149,Shuckle,,213,♂,133,50,5,7,4,35.6,18.0,18.0,,,,"2023-03-09 20:08","2023-03-09 20:08",3/9/2023,,,0,0,0,2200,28.79%,2917,59.39%,484400,256,Shuckle,,0,28.79%,2917,59.39%,484400,256,Shuckle,,0,28.79%,2917,59.39%,484400,256,Shuckle,,0,
150,Scatterbug,,664,♀,196,66,13,10,12,77.8,15.0,15.0,,,,"2023-03-09 20:08","2023-03-09 20:08",3/9/2023,,,0,0,0,1900,17.46%,3381,93.13%,86400,203,Vivillon,,0,91.06%,367,93.11%,496400,393,Vivillon,,0,94.19%,239,95.06%,452400,293,Spewpa,,0,
151,Frillish,,592,♂,686,93,13,10,11,75.6,20.0,20.0,,,,"2023-03-09 20:08","2023-03-09 20:08",3/9/2023,,,0,0,0,2500,38.75%,2509,94.44%,17000,66,Jellicent,,0,82.27%,727,96.68%,417000,298,Jellicent,,0,,,,,,,,,
152,Staryu,,120,,495,60,15,15,15,100.0,15.0,15.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,1900,41.86%,2382,94.59%,21400,70,Starmie,,0,50.40%,2032,95.85%,199400,252,Starmie,,0,69.26%,1260,93.98%,0,0,Staryu,,0,
153,Lunatone,,337,,981,113,15,11,13,86.7,15.0,15.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,1900,12.58%,3581,92.54%,35400,33,Lunatone,,0,84.32%,643,96.64%,410400,268,Lunatone,,0,,,,,,,,,
154,Meowth,Galarian,52,♀,579,87,15,14,10,86.7,20.0,20.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,2500,27.47%,2971,93.97%,11000,60,Perrserker,,0,71.53%,1167,95.57%,337000,298,Perrserker,,0,,,,,,,,,
155,Shuckle,,213,♂,133,54,4,14,11,64.4,18.0,18.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,2200,35.41%,2646,62.35%,484400,256,Shuckle,,0,35.41%,2646,62.35%,484400,256,Shuckle,,0,35.41%,2646,62.35%,484400,256,Shuckle,,0,
156,Surskit,,283,♂,266,60,15,15,10,88.9,12.0,12.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,1300,15.87%,3446,92.79%,47400,98,Masquerain,,0,94.14%,241,97.29%,461400,330,Masquerain,,0,48.62%,2105,92.25%,44400,45,Surskit,,0,
157,Tynamo,,602,♀,117,37,4,14,7,55.6,6.0,6.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,600,88.74%,462,96.83%,43900,173,Eelektross,,0,89.26%,441,97.98%,237400,377,Eelektross,,0,96.02%,164,96.68%,1200,127,Eelektross,,0,
158,Koffing,,109,♂,833,93,1,13,15,64.4,27.0,27.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,4500,75.38%,1009,88.40%,428000,206,Koffing,,0,77.02%,942,95.25%,428000,256,Weezing,Normal,0,,,,,,,,,
159,Koffing,,109,♂,529,68,5,6,0,24.4,18.0,18.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,2200,22.64%,3169,93.25%,44400,89,Weezing,Normal,0,6.20%,3842,85.96%,484400,306,Weezing,Normal,0,,,,,,,,,
160,Voltorb,Normal,100,,372,63,9,15,7,68.9,14.0,14.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,1600,36.07%,2619,93.89%,63600,108,Electrode,Normal,0,85.27%,604,92.72%,499600,322,Electrode,Normal,0,44.08%,2291,92.32%,17400,18,Voltorb,Normal,0,
161,Natu,,177,♂,723,82,13,4,1,40.0,26.0,26.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,4000,7.57%,3786,92.40%,0,50,Xatu,,0,23.10%,3150,84.84%,436000,264,Xatu,,0,,,,,,,,,
162,Koffing,,109,♀,694,80,10,6,8,53.3,22.0,22.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,3000,67.52%,1331,95.48%,16500,65,Weezing,Normal,0,57.44%,1744,92.91%,464000,288,Weezing,Normal,0,,,,,,,,,
163,Koffing,,109,♀,670,81,5,5,10,44.4,22.0,22.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,3000,76.85%,949,95.98%,20000,68,Weezing,Normal,0,41.49%,2397,91.20%,464000,288,Weezing,Normal,0,,,,,,,,,
164,Krabby,,98,♀,269,37,6,7,5,40.0,7.0,7.0,,,,"2023-03-09 20:07","2023-03-09 20:07",3/9/2023,,,0,0,0,800,60.81%,1606,95.16%,416200,292,Krabby,,0,60.17%,1632,96.37%,218200,276,Kingler,,0,57.00%,1762,92.88%,11100,14,Krabby,,0,
165,Paras,,46,♀,201,44,5,10,7,48.9,8.0,8.0,,,,"2023-03-09 20:06","2023-03-09 20:06",3/9/2023,9.1kg,9.37m,0,0,0,800,73.24%,1097,96.27%,135600,178,Parasect,,0,51.72%,1978,87.64%,513600,340,Parasect,,0,77.90%,906,94.11%,36100,40,Paras,,0,
166,Tentacool,,72,♀,594,82,9,7,11,60.0,22.0,22.0,,,,"2023-03-09 13:07","2023-03-09 13:07",3/8/2023,,,0,0,0,3000,68.42%,1294,95.90%,6000,56,Tentacruel,,0,74.65%,1039,96.07%,392000,288,Tentacruel,,0,,,,,,,,,
167,Sceptile,Normal,254,♂,1521,109,10,14,11,77.8,20.0,20.0,,,,"2023-03-09 13:03","2023-03-09 13:03",12/3/2022,,,0,0,1,2500,,,,,,,,,64.59%,1451,96.62%,145000,140,Sceptile,Normal,0,,,,,,,,,
168,Treecko,,252,♂,416,65,5,10,3,40.0,16.0,16.0,,,,"2023-03-09 13:03","2023-03-09 13:03",2/24/2023,,,0,0,0,1900,59.90%,1643,95.00%,252600,289,Grovyle,,0,48.60%,2106,96.02%,222600,359,Sceptile,Normal,0,58.80%,1688,93.25%,12600,12,Treecko,,0,
169,Treecko,,252,♂,687,85,1,12,3,35.6,27.0,27.0,,,,"2023-03-09 13:03","2023-03-09 13:03",2/24/2023,,,0,0,0,4500,84.00%,656,96.34%,209000,231,Grovyle,,0,83.57%,674,97.48%,178000,331,Sceptile,Normal,0,,,,,,,,,
170,Treecko,,252,♂,787,94,14,4,13,68.9,28.0,28.0,,,,"2023-03-09 13:03","2023-03-09 13:03",2/24/2023,,,0,0,0,4500,23.74%,3124,93.27%,97000,125,Grovyle,,0,22.03%,3194,94.97%,97000,225,Sceptile,Normal,0,,,,,,,,,
171,Treecko,,252,♀,692,89,10,0,12,48.9,26.0,26.0,,,,"2023-03-09 13:03","2023-03-09 13:03",2/24/2023,,,0,0,0,4000,21.56%,3213,93.14%,166000,209,Grovyle,,0,29.43%,2891,95.30%,148000,285,Sceptile,Normal,0,,,,,,,,,
172,Gastly,,92,♀,549,63,15,3,14,71.1,17.0,17.0,,,,"2023-03-09 13:01","2023-03-09 13:01",11/19/2022,,,0,0,0,0,67.42%,1335,95.70%,8800,133,Gengar,Normal,0,14.21%,3514,94.24%,122800,235,Gengar,Normal,0,,,,,,,,,
173,Gastly,,92,♂,457,55,14,8,10,71.1,14.0,14.0,,,,"2023-03-09 13:01","2023-03-09 13:01",3/3/2023,,,0,0,0,0,81.66%,752,96.48%,19600,145,Gengar,Normal,0,22.83%,3161,94.67%,133600,247,Gengar,Normal,0,18.85%,3324,90.03%,3200,4,Gastly,,0,
174,Gastly,,92,♂,284,43,6,13,6,55.6,9.0,9.0,,,,"2023-03-09 13:01","2023-03-09 13:01",3/9/2023,,,0,0,0,0,90.31%,398,97.13%,34500,163,Gengar,Normal,0,83.71%,668,97.06%,174000,295,Gengar,Normal,0,83.61%,672,94.93%,1000,26,Haunter,,0,
175,Koffing,,109,♂,759,87,2,10,11,51.1,25.0,25.0,,,,"2023-03-08 23:43","2023-02-19 16:12",2/19/2023,,,0,0,0,4000,95.04%,204,97.55%,0,50,Weezing,Normal,0,53.87%,1890,92.52%,444000,270,Weezing,Normal,0,,,,,,,,,
